x	f(x)	z
0.000000	1.000000	1.000000
0.010000	1.010000	0.990000
0.020000	1.019900	0.980296
0.030000	1.029703	0.970874
0.040000	1.039412	0.961720
0.050000	1.049029	0.952821
0.060000	1.058557	0.944167
0.070000	1.067999	0.935746
0.080000	1.077356	0.927547
0.090000	1.086632	0.919561
0.100000	1.095827	0.911779
0.110000	1.104945	0.904193
0.120000	1.113987	0.896794
0.130000	1.122955	0.889574
0.140000	1.131851	0.882527
0.150000	1.140676	0.875646
0.160000	1.149432	0.868924
0.170000	1.158122	0.862356
0.180000	1.166745	0.855934
0.190000	1.175305	0.849655
0.200000	1.183801	0.843513
0.210000	1.192236	0.837502
0.220000	1.200611	0.831619
0.230000	1.208927	0.825859
0.240000	1.217186	0.820217
0.250000	1.225388	0.814690
0.260000	1.233535	0.809274
0.270000	1.241628	0.803964
0.280000	1.249668	0.798759
0.290000	1.257655	0.793653
0.300000	1.265592	0.788645
0.310000	1.273478	0.783730
0.320000	1.281315	0.778907
0.330000	1.289104	0.774172
0.340000	1.296846	0.769523
0.350000	1.304541	0.764957
0.360000	1.312191	0.760471
0.370000	1.319796	0.756064
0.380000	1.327356	0.751733
0.390000	1.334874	0.747475
0.400000	1.342348	0.743290
0.410000	1.349781	0.739174
0.420000	1.357173	0.735126
0.430000	1.364524	0.731144
0.440000	1.371836	0.727226
0.450000	1.379108	0.723371
0.460000	1.386342	0.719577
0.470000	1.393537	0.715842
0.480000	1.400696	0.712165
0.490000	1.407818	0.708544
0.500000	1.414903	0.704978
0.510000	1.421953	0.701465
0.520000	1.428967	0.698005
0.530000	1.435947	0.694595
0.540000	1.442893	0.691236
0.550000	1.449806	0.687924
0.560000	1.456685	0.684660
0.570000	1.463532	0.681442
0.580000	1.470346	0.678269
0.590000	1.477129	0.675140
0.600000	1.483880	0.672054
0.610000	1.490601	0.669011
0.620000	1.497291	0.666008
0.630000	1.503951	0.663046
0.640000	1.510581	0.660122
0.650000	1.517183	0.657238
0.660000	1.523755	0.654391
0.670000	1.530299	0.651580
0.680000	1.536815	0.648806
0.690000	1.543303	0.646067
0.700000	1.549763	0.643362
0.710000	1.556197	0.640691
0.720000	1.562604	0.638054
0.730000	1.568984	0.635448
0.740000	1.575339	0.632875
0.750000	1.581668	0.630332
0.760000	1.587971	0.627820
0.770000	1.594249	0.625338
0.780000	1.600503	0.622885
0.790000	1.606731	0.620461
0.800000	1.612936	0.618065
0.810000	1.619117	0.615697
0.820000	1.625274	0.613355
0.830000	1.631407	0.611041
0.840000	1.637518	0.608752
0.850000	1.643605	0.606489
0.860000	1.649670	0.604251
0.870000	1.655713	0.602038
0.880000	1.661733	0.599849
0.890000	1.667731	0.597683
0.900000	1.673708	0.595541
0.910000	1.679664	0.593422
0.920000	1.685598	0.591326
0.930000	1.691511	0.589251
0.940000	1.697404	0.587199
0.950000	1.703276	0.585167
0.960000	1.709127	0.583157
0.970000	1.714959	0.581167
0.980000	1.720770	0.579198
0.990000	1.726562	0.577248
1.000000	1.732335	0.575318
1.010000	1.738088	0.573407
1.020000	1.743822	0.571516
1.030000	1.749537	0.569643
1.040000	1.755234	0.567788
1.050000	1.760912	0.565951
1.060000	1.766571	0.564132
1.070000	1.772213	0.562331
1.080000	1.777836	0.560547
1.090000	1.783441	0.558779
1.100000	1.789029	0.557028
1.110000	1.794599	0.555294
1.120000	1.800152	0.553576
1.130000	1.805688	0.551873
1.140000	1.811207	0.550187
1.150000	1.816709	0.548515
1.160000	1.822194	0.546859
1.170000	1.827662	0.545218
1.180000	1.833115	0.543592
1.190000	1.838551	0.541980
1.200000	1.843970	0.540382
1.210000	1.849374	0.538798
1.220000	1.854762	0.537229
1.230000	1.860134	0.535673
1.240000	1.865491	0.534130
1.250000	1.870832	0.532601
1.260000	1.876158	0.531084
1.270000	1.881469	0.529581
1.280000	1.886765	0.528091
1.290000	1.892046	0.526612
1.300000	1.897312	0.525147
